1,,,,,,,,,,,,,,
0.3471,1,,,,,,,,,,,,,
0.9534,0.7234,1,,,,,,,,,,,,
0.8095,0.4902,0.6511,1,,,,,,,,,,,
0.3677,0.6194,0.1108,0.3143,1,,,,,,,,,,
0.235,0.6597,0.2176,0.9023,0.199,1,,,,,,,,,
0.0896,0.9281,0.9827,0.2276,0.364,0.3852,1,,,,,,,,
0.2731,0.6256,0.673,0.071,0.6392,0.6029,0.8879,1,,,,,,,
0.5004,0.2281,0.5739,0.091,0.6269,0.0924,0.6377,0.746,1,,,,,,
0.8357,0.9482,0.1128,0.6278,0.753,0.4998,0.8345,0.01,0.4692,1,,,,,
0.1366,0.1818,0.8158,0.1348,0.079,0.493,0.5506,0.6228,0.3486,0.5113,1,,,,
0.1844,0.9503,0.5575,0.3822,0.6527,0.3788,0.0308,0.9744,0.6217,0.7635,0.6399,1,,,
0.3548,0.0275,0.1032,0.7325,0.4524,0.9537,0.1803,0.9374,0.6028,0.1218,0.5369,0.4127,1,,
0.7564,0.9357,0.6451,0.529,0.4192,0.548,0.1356,0.9748,0.664,0.7664,0.4433,0.6266,0.1121,1,
0.6781,0.2809,0.5364,0.7733,0.4899,0.7378,0.1759,0.457,0.2388,0.0214,0.0663,0.0415,0.801,0.3338,1
