1.0,2.0,3.0,4.0
27.0,31.0,0.0016,2.0
20.0,49.0,0.0049,2.0
13.0,45.0,0.0061,2.0
5.0,16.0,0.0078,2.0
4.0,43.0,0.0084,2.0
41.0,52.0,0.010911614607075038,3.0
9.0,48.0,0.0123,2.0
12.0,36.0,0.0128,2.0
10.0,34.0,0.0145,2.0
1.0,21.0,0.0153,2.0
6.0,25.0,0.0169,2.0
8.0,33.0,0.0179,2.0
11.0,14.0,0.0181,2.0
26.0,39.0,0.0231,2.0
18.0,35.0,0.0264,2.0
28.0,44.0,0.0303,2.0
23.0,47.0,0.0389,2.0
32.0,42.0,0.0461,2.0
19.0,37.0,0.0484,2.0
2.0,29.0,0.0506,2.0
17.0,30.0,0.052000000000000005,2.0
24.0,46.0,0.0574,2.0
7.0,15.0,0.0966,2.0
40.0,58.0,0.11363390045815258,3.0
3.0,62.0,0.12989453414212623,3.0
38.0,59.0,0.16114315581701463,3.0
0.0,70.0,0.19422615683784716,3.0
57.0,72.0,0.3543328237688402,4.0
63.0,65.0,0.4454346192203745,4.0
51.0,64.0,0.459098192111448,4.0
54.0,56.0,0.46155932446436393,4.0
60.0,76.0,0.4940610873161334,5.0
55.0,66.0,0.5093363806627862,5.0
71.0,80.0,0.5282685775247283,6.0
22.0,75.0,0.5514382180565048,4.0
68.0,73.0,0.6003250974819117,5.0
53.0,67.0,0.6310662128493333,4.0
61.0,78.0,0.6793675980890856,6.0
50.0,74.0,0.7213526238948605,5.0
69.0,82.0,0.8168233919974903,7.0
77.0,83.0,0.8547367910649454,10.0
85.0,87.0,0.8783639382052261,11.0
84.0,88.0,0.9613395985117155,9.0
79.0,81.0,0.9627977385377121,9.0
86.0,92.0,1.1562963526952814,13.0
91.0,93.0,1.3286158641209804,20.0
89.0,94.0,1.3502844731250658,20.0
90.0,96.0,1.3711153884094993,30.0
95.0,97.0,1.4804294489325278,50.0
